Year,Value,Units,variable_code
2023,64,Percentage,H41
2023,6424,Dollars (millions),H01
2023,5897,Dollars (millions),H04
2023,62,Dollars (millions),H05
2023,1,Dollars (millions),H06
2023,465,Dollars (millions),H07
2023,6304,Dollars (millions),H08
2023,298,Dollars (millions),H09
2023,27,Dollars (millions),H10
2023,285,Dollars (millions),H11
2023,447,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,4355,Dollars (millions),H19
2023,893,Dollars (millions),H20
2023,180,Dollars (millions),H21
2023,180,Dollars (millions),H22
2023,120,Dollars (millions),H23
2023,32001,Dollars (millions),H24
2023,2133,Dollars (millions),H25
2023,7805,Dollars (millions),H26
2023,22063,Dollars (millions),H29
2023,32001,Dollars (millions),H30
2023,20352,Dollars (millions),H31
2023,3672,Dollars (millions),H32
2023,7977,Dollars (millions),H33
2023,1280600,Dollars,H34
2023,23900,Dollars,H35
2023,58,Percentage,H36
2023,53,Percentage,H37
2023,1,Percentage,H39
2023,0,Percentage,H40
2023,64,Percentage,H41
2023,1715,Dollars (millions),H01
2023,1667,Dollars (millions),H04
2023,30,Dollars (millions),H05
2023,18,Dollars (millions),H07
2023,1539,Dollars (millions),H08
2023,33,Dollars (millions),H09
2023,17,Dollars (millions),H10
2023,80,Dollars (millions),H11
2023,271,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,1120,Dollars (millions),H19
2023,19,Dollars (millions),H20
2023,210,Dollars (millions),H21
2023,222,Dollars (millions),H22
2023,187,Dollars (millions),H23
2023,2704,Dollars (millions),H24
2023,814,Dollars (millions),H25
2023,706,Dollars (millions),H26
2023,1184,Dollars (millions),H29
2023,2704,Dollars (millions),H30
2023,1315,Dollars (millions),H31
2023,556,Dollars (millions),H32
2023,833,Dollars (millions),H33
2023,573500,Dollars,H34
2023,62600,Dollars,H35
2023,146,Percentage,H36
2023,106,Percentage,H37
2023,14,Percentage,H39
2023,7,Percentage,H40
2023,49,Percentage,H41
2023,6709,Dollars (millions),H01
2023,6560,Dollars (millions),H04
2023,75,Dollars (millions),H05
2023,12,Dollars (millions),H06
2023,62,Dollars (millions),H07
2023,6100,Dollars (millions),H08
2023,158,Dollars (millions),H09
2023,23,Dollars (millions),H10
2023,363,Dollars (millions),H11
2023,1722,Dollars (millions),H12
2023,1,Dollars (millions),H13
2023,3784,Dollars (millions),H19
2023,49,Dollars (millions),H20
2023,336,Dollars (millions),H21
2023,383,Dollars (millions),H22
2023,656,Dollars (millions),H23
2023,9327,Dollars (millions),H24
2023,2396,Dollars (millions),H25
2023,5242,Dollars (millions),H26
2023,1689,Dollars (millions),H29
2023,9327,Dollars (millions),H30
2023,4227,Dollars (millions),H31
2023,2344,Dollars (millions),H32
2023,2756,Dollars (millions),H33
2023,224500,Dollars,H34
2023,21900,Dollars,H35
2023,102,Percentage,H36
2023,86,Percentage,H37
2023,16,Percentage,H39
2023,7,Percentage,H40
2023,45,Percentage,H41
2023,6237,Dollars (millions),H01
2023,5709,Dollars (millions),H04
2023,90,Dollars (millions),H05
2023,1,Dollars (millions),H06
2023,438,Dollars (millions),H07
2023,5232,Dollars (millions),H08
2023,171,Dollars (millions),H09
2023,47,Dollars (millions),H10
2023,799,Dollars (millions),H11
2023,754,Dollars (millions),H12
2023,0,Dollars (millions),H13
2023,2657,Dollars (millions),H19
2023,804,Dollars (millions),H20
2023,373,Dollars (millions),H21
2023,475,Dollars (millions),H22
2023,1106,Dollars (millions),H23
2023,12637,Dollars (millions),H24
2023,4191,Dollars (millions),H25
2023,6042,Dollars (millions),H26
2023,1371,Dollars (millions),H27
2023,131,Dollars (millions),H28
2023,2405,Dollars (millions),H29
2023,12637,Dollars (millions),H30
2023,4342,Dollars (millions),H31
2023,2965,Dollars (millions),H32
2023,5330,Dollars (millions),H33
2023,1008600,Dollars,H34
2023,178900,Dollars,H35
2023,141,Percentage,H36
2023,125,Percentage,H37
2023,25,Percentage,H39
2023,9,Percentage,H40
2023,34,Percentage,H41
2023,131578,Dollars (millions),H01
2023,7804,Dollars (millions),H02
2023,122081,Dollars (millions),H03
2023,562,Dollars (millions),H05
2023,188,Dollars (millions),H06
2023,943,Dollars (millions),H07
2023,122767,Dollars (millions),H08
2023,1033,Dollars (millions),H09
2023,938,Dollars (millions),H10
2023,3878,Dollars (millions),H11
2023,18911,Dollars (millions),H12
2023,37,Dollars (millions),H13
2023,5297,Dollars (millions),H17
2023,91700,Dollars (millions),H18
2023,1009,Dollars (millions),H20
2023,18180,Dollars (millions),H21
2023,19392,Dollars (millions),H22
2023,10023,Dollars (millions),H23
2023,105992,Dollars (millions),H24
2023,51626,Dollars (millions),H25
2023,31127,Dollars (millions),H26
2023,4894,Dollars (millions),H27
2023,1077,Dollars (millions),H28
2023,23239,Dollars (millions),H29
2023,105992,Dollars (millions),H30
2023,50126,Dollars (millions),H31
2023,33507,Dollars (millions),H32
2023,22359,Dollars (millions),H33
2023,545300,Dollars,H34
2023,41500,Dollars,H35
2023,154,Percentage,H36
2023,96,Percentage,H37
2023,32,Percentage,H38
2023,20,Percentage,H39
2023,9,Percentage,H40
2023,47,Percentage,H41
2023,7458,Dollars (millions),H01
2023,523,Dollars (millions),H02
2023,6762,Dollars (millions),H03
2023,20,Dollars (millions),H05
2023,4,Dollars (millions),H06
2023,148,Dollars (millions),H07
2023,7014,Dollars (millions),H08
2023,119,Dollars (millions),H09
2023,619,Dollars (millions),H10
2023,347,Dollars (millions),H11
2023,764,Dollars (millions),H12
2023,1,Dollars (millions),H13
2023,357,Dollars (millions),H17
2023,4753,Dollars (millions),H18
2023,56,Dollars (millions),H20
2023,2029,Dollars (millions),H21
2023,2384,Dollars (millions),H22
2023,798,Dollars (millions),H23
2023,11326,Dollars (millions),H24
2023,5228,Dollars (millions),H25
2023,4062,Dollars (millions),H26
2023,576,Dollars (millions),H27
2023,74,Dollars (millions),H28
2023,2035,Dollars (millions),H29
2023,11326,Dollars (millions),H30
2023,5704,Dollars (millions),H31
2023,3025,Dollars (millions),H32
2023,2596,Dollars (millions),H33
